0, 0, 1024, 2048, -1, -1, -1, -1
1, 0.07313, 739, 1478, -1, -1, -1, -1
2, 0.00928, 1107, 5986, -1, -1, -1, -1
3, 0.103615, 1925, 10205, 1.3066e+06, 1165.49, 0, -1
7, 0.111255, 1083, 5846, 121.416, 7.3748, -1, -1
6, 0.010726, 3999, 20337, 121.416, 6.39779, -1, -1
7, 0.094759, 1773, 8893, 107.811, 5.55662, -1, -1
8, 0.040421, 1773, 8429, 25.1984, 4.78571, -1, -1
9, 0.020282, 1773, 8429, 17.431, 4.49121, -1, -1
6, 0.006618, 3023, 13754, 17.431, 4.39532, -1, -1
7, 0.06088, 1938, 9231, 17.431, 4.43666, -1, -1
8, 0.033573, 1938, 9178, 17.431, 4.36619, -1, -1
9, 0.019069, 1938, 9178, 16.5386, 4.27167, -1, -1
6, 0.005735, 2914, 13166, 16.5386, 4.2496, -1, -1
7, 0.053635, 2009, 9521, 16.5386, 4.28226, -1, -1
8, 0.028558, 2009, 9498, 13.6631, 4.2516, -1, -1
9, 0.021351, 2009, 9498, 13.4327, 4.20164, -1, -1
6, 0.005632, 2876, 12944, 13.4327, 4.19609, -1, -1
7, 0.049808, 2043, 9683, 13.4327, 4.20803, -1, -1
8, 0.02703, 2043, 9675, 13.4327, 4.19817, -1, -1
9, 0.019187, 2043, 9675, 13.3632, 4.16755, -1, -1
6, 0.011094, 4511, 21617, 13.3632, 4.29413, -1, -1
7, 0.099901, 2761, 13528, 13.3632, 4.06794, -1, -1
8, 0.072869, 2761, 13500, 11.2085, 3.99214, -1, -1
9, 0.019648, 2761, 13500, 11.202, 3.87409, -1, -1
6, 0.007121, 3879, 18330, 11.202, 3.95592, -1, -1
7, 0.068032, 2795, 13666, 11.202, 3.88762, -1, -1
8, 0.044296, 2795, 13664, 11.202, 3.86921, -1, -1
9, 0.019514, 2795, 13664, 11.202, 3.81108, -1, -1
6, 0.006951, 3803, 18078, 12.0345, 3.94591, -1, -1
7, 0.074669, 2916, 14418, 9.54649, 3.83317, -1, -1
8, 0.049437, 2916, 14407, 9.54649, 3.80993, -1, -1
9, 0.017758, 2916, 14407, 9.45364, 3.75733, -1, -1
7, 0.061974, 2828, 13986, 9.45364, 3.75567, -1, -1
4, 1.16758, 2828, 13986, 9.45364, 3.75567, -1, -1
5, 0.050471, 828, 2205, 9.45364, 4.23543, -1, -1
-1, 1.40407, 828, 2205, 9.45364, 4.23543, 0, 25
